fechaEmision,total,idMedicion,pagado,
2021/05/31,20,437,0,76
2021/05/31,20,438,0,77
2021/05/31,20,439,0,78
2021/05/31,20,440,0,79
2021/05/31,32,441,0,80
2021/05/31,20,442,0,81
2021/05/31,20,443,0,82
2021/05/31,28,444,0,83
2021/05/31,40,445,1,84
2021/05/31,32,446,1,85
2021/05/31,20,447,0,86
2021/05/31,68,448,0,87
2021/05/31,20,449,0,88
2021/05/31,20,450,0,89
2021/05/31,56,451,1,90
2021/05/31,40,452,0,91
2021/05/31,24,453,1,92
2021/05/31,28,454,1,93
2021/05/31,32,455,1,94
2021/05/31,20,456,1,95
2021/05/31,40,457,0,96
2021/05/31,36,458,1,97
2021/05/31,60,459,1,98
2021/05/31,32,460,1,99
2021/05/31,52,461,1,100
2021/05/31,40,462,1,101
2021/05/31,36,463,1,102
2021/05/31,36,464,1,103
2021/05/31,20,465,1,104
2021/05/31,28,466,1,105
2021/05/31,20,467,0,106
2021/05/31,36,468,1,107
2021/05/31,20,469,1,108
2021/05/31,32,470,1,109
2021/05/31,28,471,1,110
2021/05/31,56,472,1,111
2021/05/31,40,473,0,112
2021/05/31,36,474,0,113
2021/05/31,20,475,1,114
2021/05/31,24,476,1,115
2021/05/31,24,477,0,116
2021/05/31,20,478,1,117
2021/05/31,20,479,0,118
2021/05/31,52,480,0,119
2021/05/31,36,481,1,120
2021/05/31,64,482,0,121
2021/05/31,44,483,0,122
2021/05/31,20,484,1,123
2021/05/31,24,485,0,124
2021/05/31,28,486,1,125
2021/05/31,20,487,0,126
2021/05/31,48,488,0,127
2021/05/31,44,489,0,128
2021/05/31,36,490,1,129
2021/05/31,20,491,0,130
2021/05/31,36,492,0,131
2021/05/31,92,493,1,132
2021/05/31,56,494,0,133
2021/05/31,76,495,1,134
2021/05/31,20,496,1,135
2021/05/31,44,497,0,136
2021/05/31,32,498,1,137
2021/05/31,28,499,0,138
2021/05/31,68,500,0,139
2021/05/31,24,501,1,140
2021/05/31,32,502,0,141
2021/05/31,48,503,0,142
2021/05/31,20,504,0,143
2021/05/31,20,505,0,144
2021/05/31,84,506,0,145
2021/05/31,20,507,0,146
2021/05/31,20,508,1,147
2021/05/31,20,509,1,148
2021/05/31,36,510,0,149
2021/05/31,36,511,1,150
2021/05/31,20,512,0,151
2021/05/31,20,513,1,152
2021/05/31,48,514,1,153
2021/05/31,36,515,0,154
2021/05/31,44,516,0,155
2021/05/31,40,517,0,156
2021/05/31,24,518,1,157
2021/05/31,64,519,0,158
2021/05/31,20,520,0,159
2021/05/31,76,521,0,160
2021/05/31,40,522,0,161
2021/05/31,20,523,0,162
2021/05/31,40,524,1,163
2021/05/31,20,525,0,164
2021/05/31,40,526,0,165
2021/05/31,64,527,1,166
2021/05/31,28,528,1,167
2021/05/31,52,529,0,168
2021/05/31,36,530,0,169
2021/05/31,20,531,1,170
2021/05/31,40,532,1,171
2021/05/31,44,533,0,172
2021/05/31,48,534,1,173
2021/05/31,20,535,0,174
2021/05/31,32,536,0,175
2021/05/31,24,537,0,176
2021/05/31,28,538,1,177
2021/05/31,32,539,1,178
2021/05/31,20,540,1,179
2021/05/31,24,541,1,180
2021/05/31,52,542,0,181
2021/05/31,48,543,0,182
